;8006
2019-02-03 12:40:00;27,9
2019-02-03 12:50:00;27,85
2019-02-03 13:00:00;27,6
2019-02-03 13:10:00;27,75
2019-02-03 13:20:00;27,6
2019-02-03 13:30:00;28,2
2019-02-03 13:40:00;28,2
2019-02-03 13:50:00;27,7
2019-02-03 14:00:00;28,1
2019-02-03 14:10:00;27,7
2019-02-03 14:20:00;27,75
2019-02-03 14:30:00;27,4
2019-02-03 14:40:00;27,2
2019-02-03 14:50:00;26,1
2019-02-03 15:00:00;26,8
2019-02-03 15:10:00;26
2019-02-03 15:20:00;25
2019-02-03 15:30:00;25,15
2019-02-03 15:40:00;25,6
2019-02-03 15:50:00;25,45
2019-02-03 16:00:00;24,6
2019-02-03 16:10:00;24,6
2019-02-03 16:20:00;24,15
2019-02-03 16:30:00;23,95
2019-02-03 16:40:00;23,55
2019-02-03 16:50:00;23,65
2019-02-03 17:00:00;22,9
2019-02-03 17:10:00;22,7
2019-02-03 17:20:00;21,95
2019-02-03 17:30:00;22,05
2019-02-03 17:40:00;22,05
2019-02-03 17:50:00;21,7
2019-02-03 18:00:00;21
2019-02-03 18:10:00;21,1
2019-02-03 18:20:00;21,2
2019-02-03 18:30:00;21,4
2019-02-03 18:40:00;20,65
2019-02-03 18:50:00;20,25
2019-02-03 19:00:00;20,6
2019-02-03 19:10:00;21,1
2019-02-03 19:20:00;21,05
2019-02-03 19:30:00;20,3
2019-02-03 19:40:00;21
2019-02-03 19:50:00;20,65
2019-02-03 20:00:00;20,65
2019-02-03 20:10:00;20,75
2019-02-03 20:20:00;20,2
2019-02-03 20:30:00;20,2
2019-02-03 20:40:00;20
2019-02-03 20:50:00;19,9
2019-02-03 21:00:00;20
2019-02-03 21:10:00;19,35
2019-02-03 21:20:00;19,85
2019-02-03 21:30:00;19,55
2019-02-03 21:40:00;19,55
2019-02-03 21:50:00;19,25
2019-02-03 22:00:00;19,35
2019-02-03 22:10:00;19
2019-02-03 22:20:00;18,65
2019-02-03 22:30:00;18,5
2019-02-03 22:40:00;18
2019-02-03 22:50:00;18,5
2019-02-03 23:00:00;18,3
2019-02-03 23:10:00;18,2
2019-02-03 23:20:00;18,35
2019-02-03 23:30:00;18,1
2019-02-03 23:40:00;19,15
2019-02-03 23:50:00;19,25
2019-02-04 00:00:00;19,35
2019-02-04 00:10:00;19,45
2019-02-04 00:20:00;19,55
2019-02-04 00:30:00;19,4
2019-02-04 00:40:00;19,3
2019-02-04 00:50:00;19,4
2019-02-04 01:00:00;19,3
2019-02-04 01:10:00;19,35
2019-02-04 01:20:00;19,4
2019-02-04 01:30:00;19,2
2019-02-04 01:40:00;19
2019-02-04 01:50:00;19,15
2019-02-04 02:00:00;19,3
2019-02-04 02:10:00;18,7
2019-02-04 02:20:00;19,55
2019-02-04 02:30:00;19,35
2019-02-04 02:40:00;19,3
2019-02-04 02:50:00;19,5
2019-02-04 03:00:00;19,6
2019-02-04 03:10:00;19
2019-02-04 03:20:00;18,85
2019-02-04 03:30:00;18,15
2019-02-04 03:40:00;18,45
2019-02-04 03:50:00;18,6
2019-02-04 04:00:00;18,2
2019-02-04 04:10:00;18,6
2019-02-04 04:20:00;17,7
2019-02-04 04:30:00;17,65
2019-02-04 04:40:00;18
2019-02-04 04:50:00;17,85
2019-02-04 05:00:00;17,9
2019-02-04 05:10:00;18,25
2019-02-04 05:20:00;17,65
2019-02-04 05:30:00;18
2019-02-04 05:40:00;17,4
2019-02-04 05:50:00;18
2019-02-04 06:00:00;17,4
2019-02-04 06:10:00;16,9
2019-02-04 06:20:00;16,6
2019-02-04 06:30:00;16,35
2019-02-04 06:40:00;17,2
2019-02-04 06:50:00;18,15
2019-02-04 07:00:00;17,95
2019-02-04 07:10:00;19,45
2019-02-04 07:20:00;19,75
2019-02-04 07:30:00;20,85
2019-02-04 07:40:00;21,2
2019-02-04 07:50:00;21,3
2019-02-04 08:00:00;21,5
2019-02-04 08:10:00;21,25
2019-02-04 08:20:00;22,1
2019-02-04 08:30:00;22,5
2019-02-04 08:40:00;22,45
2019-02-04 08:50:00;23,8
2019-02-04 09:00:00;24
2019-02-04 09:10:00;25,5
2019-02-04 09:20:00;25,4
